id,change_percentage,index_name,period,price,sector_id,trade_date
2202,-0.50105715,AllSharePriceIndex,D,496.8621,1,972842400000
2203,-0.57822883,AllSharePriceIndex,M,493.9891,1,972928800000
2204,0.50622576,AllSharePriceIndex,D,496.4898,1,973015200000
2205,-0.71739644,AllSharePriceIndex,D,492.928,1,973101600000
2206,0.035928167,AllSharePriceIndex,W,493.1051,1,973188000000
2207,0.13161494,AllSharePriceIndex,D,493.7541,1,973447200000
2208,-0.08781699,AllSharePriceIndex,D,493.3205,1,973533600000
2209,-0.13636166,AllSharePriceIndex,D,492.6478,1,973620000000
2210,0.25740498,AllSharePriceIndex,D,493.9159,1,973706400000
2211,-0.425619,AllSharePriceIndex,W,491.8137,1,973792800000
2212,-0.14531925,AllSharePriceIndex,D,491.099,1,974052000000
2213,-0.5571789,AllSharePriceIndex,D,488.3627,1,974138400000
2214,-0.18076728,AllSharePriceIndex,D,487.4799,1,974224800000
2215,-0.52978593,AllSharePriceIndex,D,484.8973,1,974311200000
2216,-1.4746009,AllSharePriceIndex,W,477.747,1,974397600000
2217,-0.5397836,AllSharePriceIndex,D,475.1682,1,974656800000
2218,0.03562949,AllSharePriceIndex,D,475.3375,1,974743200000
2219,-1.0071791,AllSharePriceIndex,D,470.55,1,974829600000
2220,-1.2856232,AllSharePriceIndex,D,464.5005,1,974916000000
2221,-1.01255,AllSharePriceIndex,W,459.7972,1,975002400000
2222,-3.3217905,AllSharePriceIndex,D,444.5237,1,975261600000
2223,-0.1626235,AllSharePriceIndex,D,443.8008,1,975348000000
2224,-1.6546162,AllSharePriceIndex,D,436.4576,1,975434400000
2225,-0.49377075,AllSharePriceIndex,M,434.3025,1,975520800000
2226,0.7558787,AllSharePriceIndex,W,437.5853,1,975607200000
2227,-0.6553008,AllSharePriceIndex,D,434.7178,1,975866400000
2228,1.0488644,AllSharePriceIndex,D,439.2774,1,975952800000
2229,-0.4599827,AllSharePriceIndex,D,437.2568,1,976039200000
2230,0.17303333,AllSharePriceIndex,D,438.0134,1,976125600000
2231,0.09460898,AllSharePriceIndex,W,438.4278,1,976212000000
2232,-0.10090601,AllSharePriceIndex,D,437.9854,1,976471200000
2233,0.869755,AllSharePriceIndex,D,441.7948,1,976557600000
2234,0.8306119,AllSharePriceIndex,D,445.4644,1,976644000000
2235,0.6767993,AllSharePriceIndex,D,448.4793,1,976730400000
2236,1.1745247,AllSharePriceIndex,W,453.7468,1,976816800000
2237,-1.2997777,AllSharePriceIndex,D,447.8491,1,977076000000
2238,-0.7595416,AllSharePriceIndex,D,444.4475,1,977162400000
2239,0.38344237,AllSharePriceIndex,D,446.1517,1,977248800000
2240,-0.44466937,AllSharePriceIndex,D,444.1678,1,977335200000
2241,1.1499258,AllSharePriceIndex,W,449.2754,1,977421600000
2242,-0.36485416,AllSharePriceIndex,D,447.6362,1,977853600000
2243,-0.47076175,AllSharePriceIndex,D,445.5289,1,977940000000
2244,0.45965594,AllSharePriceIndex,Y,447.5768,1,978026400000
2245,0.020845585,AllSharePriceIndex,D,447.6701,1,978372000000
2246,-0.1837067,AllSharePriceIndex,D,446.8477,1,978458400000
2247,0.5072198,AllSharePriceIndex,D,449.1142,1,978544800000
2248,0.10912592,AllSharePriceIndex,W,449.6043,1,978631200000
2249,-0.16389968,AllSharePriceIndex,D,448.8674,1,978890400000
2250,0.0026288386,AllSharePriceIndex,D,448.8792,1,979063200000
2251,0.17327602,AllSharePriceIndex,D,449.657,1,979149600000
2252,0.91391885,AllSharePriceIndex,W,453.7665,1,979236000000
2253,-0.8329835,AllSharePriceIndex,D,449.9867,1,979581600000
2254,0.007000207,AllSharePriceIndex,D,450.0182,1,979668000000
2255,0.27838874,AllSharePriceIndex,D,451.271,1,979754400000
2256,0.05929918,AllSharePriceIndex,W,451.5386,1,979840800000
2257,-1.1311104,AllSharePriceIndex,D,446.4312,1,980100000000
2258,0.0170239,AllSharePriceIndex,D,446.5072,1,980186400000
2259,0.04049207,AllSharePriceIndex,D,446.688,1,980272800000
2260,-1.0887465,AllSharePriceIndex,D,441.8247,1,980359200000
2261,-0.49261618,AllSharePriceIndex,W,439.6482,1,980445600000
2262,-0.29994437,AllSharePriceIndex,D,438.3295,1,980704800000
2263,0.26582742,AllSharePriceIndex,D,439.4947,1,980791200000
2264,-0.0024118607,AllSharePriceIndex,M,439.4841,1,980877600000
2265,0.19855098,AllSharePriceIndex,D,440.3567,1,980964000000
2266,0.250615,AllSharePriceIndex,W,441.4603,1,981050400000
2267,-0.22239825,AllSharePriceIndex,D,440.4785,1,981396000000
2268,-0.11208265,AllSharePriceIndex,D,439.9848,1,981568800000
2269,0.77807236,AllSharePriceIndex,W,443.4082,1,981655200000
2270,-0.3213743,AllSharePriceIndex,D,441.9832,1,981914400000
2271,0.5256987,AllSharePriceIndex,D,444.3067,1,982000800000
2272,-0.36825913,AllSharePriceIndex,D,442.6705,1,982087200000
2273,-0.4013143,AllSharePriceIndex,D,440.894,1,982173600000
2274,-0.19018176,AllSharePriceIndex,W,440.0555,1,982260000000
2275,-0.16502464,AllSharePriceIndex,D,439.3293,1,982519200000
2276,0.11729243,AllSharePriceIndex,D,439.8446,1,982605600000
2277,0.33389065,AllSharePriceIndex,D,441.3132,1,982692000000
2278,0.19027303,AllSharePriceIndex,D,442.1529,1,982778400000
2279,0.05771759,AllSharePriceIndex,W,442.4081,1,982864800000
2280,-0.065030456,AllSharePriceIndex,D,442.1204,1,983124000000
2281,-0.30787992,AllSharePriceIndex,D,440.7592,1,983210400000
2282,0.33349276,AllSharePriceIndex,M,442.2291,1,983296800000
2283,-0.23591845,AllSharePriceIndex,D,441.1858,1,983383200000
2284,0.1296506,AllSharePriceIndex,W,441.7578,1,983469600000
2285,-0.5288871,AllSharePriceIndex,D,439.4214,1,983728800000
2286,0.057461925,AllSharePriceIndex,D,439.6739,1,983815200000
2287,-0.23697108,AllSharePriceIndex,D,438.632,1,983901600000
2288,0.44312772,AllSharePriceIndex,D,440.5757,1,983988000000
2289,-0.70593995,AllSharePriceIndex,D,437.4655,1,984333600000
2290,-0.20474757,AllSharePriceIndex,D,436.5698,1,984420000000
2291,-0.2734958,AllSharePriceIndex,D,435.3758,1,984506400000
2292,-0.04667232,AllSharePriceIndex,D,435.1726,1,984592800000
2293,-0.28312904,AllSharePriceIndex,W,433.9405,1,984679200000
2294,-0.27031356,AllSharePriceIndex,D,432.7675,1,984938400000
2295,-0.033366647,AllSharePriceIndex,D,432.6231,1,985024800000
2296,-0.5220248,AllSharePriceIndex,D,430.3647,1,985111200000
2297,-0.341989,AllSharePriceIndex,D,428.8929,1,985197600000
2298,-0.112429,AllSharePriceIndex,W,428.4107,1,985284000000
2299,-0.6162311,AllSharePriceIndex,D,425.7707,1,985543200000
2300,-0.66653246,AllSharePriceIndex,D,422.9328,1,985629600000
2301,-0.40256986,AllSharePriceIndex,D,421.2302,1,985716000000
2302,0.07568308,AllSharePriceIndex,D,421.549,1,985802400000
2303,0.48430905,AllSharePriceIndex,Q,423.5906,1,985888800000
2304,-0.1253805,AllSharePriceIndex,D,423.0595,1,986148000000
2305,-0.5677925,AllSharePriceIndex,D,420.6574,1,986234400000
2306,-0.3404671,AllSharePriceIndex,D,419.2252,1,986320800000
2307,0.14822583,AllSharePriceIndex,D,419.8466,1,986407200000
2308,0.27529103,AllSharePriceIndex,W,421.0024,1,986493600000
2309,-0.21553321,AllSharePriceIndex,D,420.095,1,986752800000
2310,0.13206537,AllSharePriceIndex,D,420.6498,1,986839200000
2311,0.114584625,AllSharePriceIndex,D,421.1318,1,986925600000
2312,0.6879794,AllSharePriceIndex,D,424.0291,1,987357600000
2313,-0.25665691,AllSharePriceIndex,D,422.9408,1,987444000000
2314,0.2557332,AllSharePriceIndex,D,424.0224,1,987530400000
2315,-1.0861926,AllSharePriceIndex,D,419.4167,1,987616800000
2316,-0.7001152,AllSharePriceIndex,W,416.4803,1,987703200000
2317,0.09657119,AllSharePriceIndex,D,416.8825,1,987962400000
2318,0.058577657,AllSharePriceIndex,D,417.1267,1,988048800000
2319,-0.007935239,AllSharePriceIndex,D,417.0936,1,988135200000
2320,0.025294082,AllSharePriceIndex,D,417.1991,1,988221600000
2321,-0.09594939,AllSharePriceIndex,W,416.7988,1,988308000000
2322,-0.09764903,AllSharePriceIndex,M,416.3918,1,988567200000
2323,0.090371616,AllSharePriceIndex,D,416.7681,1,988740000000
2324,-0.22105819,AllSharePriceIndex,D,415.8468,1,988826400000
2325,0.39363053,AllSharePriceIndex,W,417.4837,1,988912800000
2326,0.034492366,AllSharePriceIndex,D,417.6277,1,989344800000
2327,-0.09901163,AllSharePriceIndex,D,417.2142,1,989431200000
2328,0.11598359,AllSharePriceIndex,W,417.6981,1,989517600000
2329,-0.34553665,AllSharePriceIndex,D,416.2548,1,989776800000
2330,0.0010089973,AllSharePriceIndex,D,416.259,1,989863200000
2331,-0.003339267,AllSharePriceIndex,D,416.2451,1,989949600000
2332,0.35366184,AllSharePriceIndex,D,417.7172,1,990036000000
2333,-0.4272029,AllSharePriceIndex,W,415.9327,1,990122400000
2334,-0.0040631574,AllSharePriceIndex,D,415.9158,1,990381600000
2335,0.6560463,AllSharePriceIndex,D,418.6444,1,990468000000
2336,0.047773242,AllSharePriceIndex,D,418.8444,1,990554400000
2337,0.27578261,AllSharePriceIndex,D,419.9995,1,990640800000
2338,-0.15490495,AllSharePriceIndex,W,419.3489,1,990727200000
2339,0.2667707,AllSharePriceIndex,D,420.4676,1,990986400000
2340,0.22734213,AllSharePriceIndex,D,421.4235,1,991072800000
2341,0.3682519,AllSharePriceIndex,D,422.9754,1,991159200000
2342,-0.5122047,AllSharePriceIndex,M,420.8089,1,991245600000
2343,0.21270938,AllSharePriceIndex,W,421.704,1,991332000000
2344,-0.15494281,AllSharePriceIndex,D,421.0506,1,991591200000
2345,-0.31692153,AllSharePriceIndex,D,419.7162,1,991764000000
2346,-0.081555106,AllSharePriceIndex,D,419.3739,1,991850400000
2347,0.2846863,AllSharePriceIndex,W,420.5678,1,991936800000
2348,-0.10381204,AllSharePriceIndex,D,420.1312,1,992196000000
2349,-0.37583497,AllSharePriceIndex,D,418.5522,1,992282400000
2350,-0.0037271336,AllSharePriceIndex,D,418.5366,1,992368800000
2351,-0.0034883448,AllSharePriceIndex,D,418.522,1,992455200000
2352,-0.5643192,AllSharePriceIndex,W,416.1602,1,992541600000
2353,-0.016291803,AllSharePriceIndex,D,416.0924,1,992800800000
2354,0.13658024,AllSharePriceIndex,D,416.6607,1,992887200000
2355,0.6713136,AllSharePriceIndex,D,419.4578,1,992973600000
2356,2.2559123,AllSharePriceIndex,D,428.9204,1,993060000000
2357,0.45309106,AllSharePriceIndex,W,430.8638,1,993146400000
2358,-0.6293172,AllSharePriceIndex,D,428.1523,1,993405600000
2359,-0.42281684,AllSharePriceIndex,D,426.342,1,993492000000
2360,0.01789643,AllSharePriceIndex,D,426.4183,1,993578400000
2361,-0.43762192,AllSharePriceIndex,D,424.5522,1,993664800000
2362,0.81690776,AllSharePriceIndex,Q,428.0204,1,993751200000
2363,-0.28489298,AllSharePriceIndex,D,426.801,1,994010400000
2364,0.026968071,AllSharePriceIndex,D,426.9161,1,994096800000
2365,0.618529,AllSharePriceIndex,D,429.5567,1,994183200000
2366,-0.42171383,AllSharePriceIndex,W,427.7452,1,994356000000
2367,0.28542694,AllSharePriceIndex,D,428.9661,1,994615200000
2368,0.29965073,AllSharePriceIndex,D,430.2515,1,994701600000
2369,-2.0008996,AllSharePriceIndex,D,421.6426,1,994788000000
2370,0.07489756,AllSharePriceIndex,D,421.9584,1,994874400000
2371,0.22729729,AllSharePriceIndex,W,422.9175,1,994960800000
2372,0.26993445,AllSharePriceIndex,D,424.0591,1,995220000000
2373,-0.6167301,AllSharePriceIndex,D,421.4438,1,995306400000
2374,0.08017676,AllSharePriceIndex,D,421.7817,1,995392800000
2375,0.41455093,AllSharePriceIndex,D,423.5302,1,995479200000
2376,-0.11312062,AllSharePriceIndex,W,423.0511,1,995565600000
2377,-0.30228028,AllSharePriceIndex,D,421.7723,1,995824800000
2378,-0.9107284,AllSharePriceIndex,D,417.9311,1,995911200000
2379,-0.016198842,AllSharePriceIndex,D,417.8634,1,995997600000
2380,-0.046043754,AllSharePriceIndex,D,417.671,1,996084000000
2381,0.182129,AllSharePriceIndex,W,418.4317,1,996170400000
2382,0.23502043,AllSharePriceIndex,D,419.4151,1,996429600000
2383,-0.14758648,AllSharePriceIndex,M,418.7961,1,996516000000
2384,-0.13653423,AllSharePriceIndex,D,418.2243,1,996602400000
