id,agm,announcement_category,anu_category_id,approved_date,company,created_date,date_of_announcement,final_dividend,first_and_final,group_key,is_new,non_voting_div_per_share,payment,record_date,remarks,sec_id,symbol,type_first_int,type_fourth_int,type_other,type_second_int,type_third_int,voting_div_per_share,xc,xd
10052,,CASH DIVIDEND,5,1623326370444,CEYLON TEA BROKERS PLC,10-06-2021 05:29:30 PM,10-06-2021,true,false,CASH DIVIDEND,true,,12-07-2021,,Year ended 31st March 2021,923,CTBL,false,false,false,false,false,0.35,,21-06-2021
10063,,CASH DIVIDEND,5,1623404980433,DISTILLERIES COMPANY OF SRI LANKA PLC,11-06-2021 03:19:40 PM,11-06-2021,false,false,CASH DIVIDEND,true,,05-07-2021,,,463,DIST,false,false,false,true,false,0.7,,22-06-2021
10092,,CASH DIVIDEND,5,1623669214477,MELSTACORP PLC,14-06-2021 04:43:34 PM,14-06-2021,false,false,CASH DIVIDEND,true,,06-07-2021,,Interim dividend announcement ,1507,MELS,true,false,false,false,false,2.75,,23-06-2021
10167,30-07-2021,CASH DIVIDEND,5,1624248577346,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,21-06-2021 09:39:37 AM,21-06-2021,true,false,CASH DIVIDEND,true,7.5,19-08-2021,,,981,CDB,false,false,false,false,false,7.5,,02-08-2021
10171,,CASH DIVIDEND,5,1624271635579,EXPOLANKA HOLDINGS PLC,21-06-2021 04:03:55 PM,21-06-2021,false,false,CASH DIVIDEND,true,,22-07-2021,,,1066,EXPO,false,false,true,false,false,1.17,,01-07-2021
10177,,CASH DIVIDEND,5,1624332906207,TOKYO CEMENT COMPANY (LANKA) PLC,22-06-2021 09:05:06 AM,22-06-2021,false,false,CASH DIVIDEND,true,1.25,22-06-2021,,Proposed Payment of First Interim Dividends for the year ended 31st March 2021,688,TKYO,true,false,false,false,false,1.25,,02-07-2021
10233,15-07-2021,CASH DIVIDEND,5,1624616124249,AGSTAR PLC,25-06-2021 03:45:24 PM,25-06-2021,true,false,CASH DIVIDEND,true,0.2,05-08-2021,,Further to our initial announcement dated 05th April 2021 of the dividend declaration and our subsequent announcement dated 14th June 2021,1121,AGST,false,false,false,false,false,0.2,,16-07-2021
10238,18-08-2021,CASH DIVIDEND,5,1624608750356,C. W. MACKIE PLC,25-06-2021 01:42:30 PM,25-06-2021,false,true,CASH DIVIDEND,true,,08-09-2021,,Announcement re. First & Final Dividend for the year ended 31st March 2021 recommended to shareholders at 99th Annual General Meeting on 18th August 2021  ,765,CWM,false,false,false,false,false,7,,19-08-2021
10265,,CASH DIVIDEND,5,1624849759476,LION BREWERY CEYLON PLC,28-06-2021 08:39:19 AM,28-06-2021,false,false,CASH DIVIDEND,true,0,29-07-2021,,FIRST INTERIM DIVIDEND OF RS.14/40 PER ORDINARY SHARE FOR THE FINANCIAL YEAR ENDED 31ST MARCH 2021,485,LION,true,false,false,false,false,14.4,,07-07-2021
10311,30-07-2021,CASH DIVIDEND,5,1624958991027,R I L PROPERTY PLC,29-06-2021 02:59:51 PM,29-06-2021,true,false,CASH DIVIDEND,true,,20-08-2021,,,1544,RIL,false,false,false,false,false,0.15,,02-08-2021
10329,29-07-2021,CASH DIVIDEND,5,1625024539470,MALWATTE VALLEY PLANTATIONS PLC,30-06-2021 09:12:19 AM,29-06-2021,true,false,CASH DIVIDEND,true,0.1,19-08-2021,,Final dividend for the year ended 31-12-2020,722,MAL,false,false,false,false,false,0.1,,30-07-2021
10345,,CASH DIVIDEND,5,1625045696673,PRINTCARE  PLC,30-06-2021 03:04:56 PM,30-06-2021,true,false,CASH DIVIDEND,true,,02-08-2021,,Final Dividend 2020-2021,681,CARE,false,false,false,false,false,1,,09-07-2021
10346,,CASH DIVIDEND,5,1625047323694,PANASIAN POWER PLC,30-06-2021 03:32:03 PM,30-06-2021,false,false,CASH DIVIDEND,true,,02-08-2021,,,1040,PAP,false,false,false,true,false,0.14,,09-07-2021
10353,,CASH DIVIDEND,5,1625053845828,PRIME LANDS RESIDENCIES LIMITED,30-06-2021 05:20:45 PM,30-06-2021,false,false,CASH DIVIDEND,true,0,02-08-2021,,,2279,PLR,true,false,false,false,false,0.4,,09-07-2021
10359,,CASH DIVIDEND,5,1625051762107,HATTON PLANTATIONS PLC,30-06-2021 04:46:02 PM,30-06-2021,false,false,CASH DIVIDEND,true,,02-08-2021,,First Interim Dividend of Rs. 0.50 per share for financial year ending 31st March 2022,1045,HPL,true,false,false,false,false,0.5,,09-07-2021
10466,,CASH DIVIDEND,5,1625456773791,INDO MALAY  PLC,05-07-2021 09:16:13 AM,05-07-2021,false,false,CASH DIVIDEND,true,,05-08-2021,,FIRST INTERIM DIVIDEND OF Rs.7/58 PER ORDINARY SHARE FOR THE FINANCIAL YEAR ENDING 31ST MARCH 2022,701,INDO,true,false,false,false,false,7.58,,14-07-2021
10467,,CASH DIVIDEND,5,1625456879414,GOOD HOPE  PLC,05-07-2021 09:17:59 AM,05-07-2021,false,false,CASH DIVIDEND,true,,05-08-2021,,FIRST INTERIM DIVIDEND OF Rs.10/77 PER ORDINARY SHARE FOR THE FINANCIAL YEAR ENDING 31ST MARCH 2022,459,GOOD,true,false,false,false,false,10.77,,14-07-2021
10468,,CASH DIVIDEND,5,1625458005748,SELINSING  PLC,05-07-2021 09:36:45 AM,05-07-2021,false,false,CASH DIVIDEND,true,,05-08-2021,,FIRST INTERIM DIVIDEND OF Rs.9/50 PER ORDINARY SHARE FOR THE FINANCIAL YEAR ENDING 31ST MARCH 2022,702,SELI,true,false,false,false,false,9.5,,14-07-2021
10469,,CASH DIVIDEND,5,1625458056715,SHALIMAR (MALAY)  PLC,05-07-2021 09:37:36 AM,05-07-2021,false,false,CASH DIVIDEND,true,,05-08-2021,,FIRST INTERIM DIVIDEND OF Rs.8/90 PER ORDINARY SHARE FOR THE FINANCIAL YEAR ENDING 31ST MARCH 2022,703,SHAL,true,false,false,false,false,8.9,,14-07-2021
